# energy dos(up) dos(down)
-1.556815809999999978e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.556015809999999888e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.555225809999999953e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.554435810000000018e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.553635810000000106e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.552845809999999993e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.552055809999999880e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.551255809999999968e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.550465810000000033e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.549675810000000098e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.548875810000000008e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.548085809999999896e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.547295809999999960e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.546505810000000025e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.545705810000000113e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.544915810000000000e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.544125809999999888e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.543325809999999976e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.542535810000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.541745810000000105e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.540945810000000016e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.540155809999999903e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.539365809999999968e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.538565810000000056e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.537775810000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.536985810000000008e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.536185809999999918e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.535395809999999983e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.534605810000000048e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.533805809999999958e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.533015810000000023e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.532225809999999910e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.531425809999999998e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.530635810000000063e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.529845810000000128e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.529045810000000039e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.528255809999999926e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.527465809999999991e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.526665810000000079e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.525875809999999966e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.525085810000000031e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.524285809999999941e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.523495810000000006e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.522705810000000071e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.521905809999999981e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.521115809999999868e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.520325809999999933e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.519525810000000021e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.518735810000000086e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.517945809999999973e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.517145809999999884e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.516355809999999948e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.515565810000000013e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.514765810000000101e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.513975809999999989e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.513185809999999876e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.512385809999999964e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.511595810000000029e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.510805810000000093e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.510005810000000004e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.509215809999999891e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.508425809999999956e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.507625810000000044e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.506835810000000109e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.506045809999999996e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.505245809999999906e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.504455809999999971e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.503665810000000036e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.502865810000000124e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.502075810000000011e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-1.501285809999999898e+01 0.000000000000000000e+00 -0.000000000000000000e+00
