n_max,l_max,sigma,dimensions,silhouette_score
2,2,0.3,30,-0.181540892200101
2,2,0.35,30,-0.1640405169749756
2,2,0.4,30,-0.15268141133703708
2,2,0.45,30,-0.14509027275386877
2,2,0.5,30,-0.14070145109711066
2,2,0.55,30,-0.1394452803317672
4,4,0.3,180,-0.07320035588073882
4,4,0.35,180,-0.06744970082325244
4,4,0.4,180,-0.06530275592628047
4,4,0.45,180,-0.06598452640894045
4,4,0.5,180,-0.0691847493048388
4,4,0.55,180,-0.07466256616196304
6,6,0.3,546,-0.04777844349935655
6,6,0.35,546,-0.04841616920559974
6,6,0.4,546,-0.05049709412946499
6,6,0.45,546,-0.05409232499171337
6,6,0.5,546,-0.06046017225138251
6,6,0.55,546,-0.0695113020424085
8,8,0.3,1224,-0.03798572844274307
8,8,0.35,1224,-0.040780583483721794
8,8,0.4,1224,-0.042818074007444355
8,8,0.45,1224,-0.044687951644346274
8,8,0.5,1224,-0.0477560432989889
8,8,0.55,1224,-0.05258875478992771
10,10,0.3,2310,-0.0321489061481418
10,10,0.35,2310,-0.03599878109034378
10,10,0.4,2310,-0.03861430006272757
10,10,0.45,2310,-0.04060882578522208
10,10,0.5,2310,-0.043874278203671374
10,10,0.55,2310,-0.04858337969529347
12,12,0.3,3900,-0.028029828390401516
12,12,0.35,3900,-0.03204174903999437
12,12,0.4,3900,-0.03568650253634318
12,12,0.45,3900,-0.037768005207321015
12,12,0.5,3900,-0.04022670710089901
12,12,0.55,3900,-0.0450551748591896
